"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"33000","New Hampshire",688,648,560,430,420,480,504,542,570,537,566,586,720,871,1002,1082,1139,1168,1233,1312,1297,1373,1538,1612,1692,1746,1869,1951,2065,2071,2198,2271,2356,2464,2503,2635,2787,3031,3235,3513,3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30319,31852,35335,36747,36974,37371,39434,40619,43153,44695,45886,45101,47098,49131,51123,50865,52643,54684,56321,58419,60929,63271,66534,72003
"34000","New Jersey",921,851,741,593,529,578,631,715,753,704,757,830,969,1185,1454,1576,1609,1547,1589,1667,1639,1820,2024,2144,2262,2246,2322,2469,2575,2480,2611,2712,2777,2936,3008,3163,3344,3577,3810,4135,4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62397,64759,66862,70314,74805
"35000","New Mexico",405,333,287,208,211,246,293,343,362,338,356,377,476,656,803,908,971,947,1026,1156,1188,1260,1410,1506,1536,1557,1641,1725,1842,1952,2022,2004,2073,2124,2174,2260,2383,2517,2620,2854,3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21380,21587,23102,24601,25255,26097,27399,28858,30597,31950,33649,32911,33710,35045,35749,35088,37219,38103,38775,39437,41145,42907,46092,49320
"36000","New York",1156,1042,889,686,634,688,732,819,848,801,837,883,1012,1191,1416,1569,1681,1725,1751,1783,1738,1868,2020,2075,2160,2190,2310,2432,2542,2608,2750,2847,2936,3055,3160,3351,3531,3768,4044,4435,4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32040,33740,36090,37283,37088,37576,39329,40884,44128,47428,48184,47027,48768,50904,53102,53395,55290,57481,59280,63045,65097,67325,71449,76415
"37000","North Carolina",327,287,244,183,203,247,267,294,321,291,312,323,430,588,713,778,835,875,905,1008,978,1095,1217,1256,1304,1330,1404,1473,1462,1540,1619,1666,1729,1840,1921,2055,2194,2421,2588,2825,3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44529,46272,48261,50996,55043
"38000","North Dakota",377,308,195,178,151,184,271,238,324,282,316,352,521,658,959,1020,1037,1079,1467,1462,1231,1388,1480,1351,1372,1407,1544,1615,1662,1931,1757,1909,1730,2441,2249,2220,2584,2623,2714,2864,3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52455,55511,57205,60451,65544
"39000","Ohio",772,664,563,403,387,457,519,597,651,565,620,664,828,1032,1273,1330,1361,1324,1411,1541,1456,1611,1841,1923,2031,1974,2098,2193,2256,2194,2331,2410,2426,2539,2630,2781,2970,3200,3325,3633,3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36854,39245,40759,41259,42829,44442,45212,46711,48438,49809,53198,56483
"40000","Oklahoma",449,365,294,214,220,250,296,322,375,345,348,374,436,639,802,965,989,960,1031,1144,1180,1164,1319,1438,1518,1504,1560,1642,1711,1856,1919,1974,2006,2054,2112,2256,2424,2585,2784,3032,3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44444,46474,48524,50114,53156
"41000","Oregon",666,605,504,377,357,437,459,547,556,531,571,611,823,1132,1403,1402,1372,1390,1515,1676,1641,1695,1876,1961,1973,1929,2048,2146,2133,2182,2322,2366,2435,2542,2626,2773,2933,3107,3278,3524,3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39371,39788,42134,44694,45999,47983,50536,52464,56311,60676
"42000","Pennsylvania",776,717,605,455,423,487,524,608,643,570,609,659,786,965,1169,1272,1305,1305,1378,1437,1403,1552,1719,1797,1903,1835,1923,2071,2184,2175,2247,2305,2342,2452,2530,2684,2854,3066,3279,3546,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52499,55184,56742,60720,64054
