"TIME","GEO","UNIT","MOT_NRG","Value","Flag and Footnotes"
"2013","Latvia","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Latvia","Number","Hydrogen and fuel cells ",":",""
"2013","Latvia","Number","Bioethanol",":",""
"2013","Latvia","Number","Biodiesel",":",""
"2013","Latvia","Number","Bi-fuel",":",""
"2013","Latvia","Number","Other",":",""
"2013","Lithuania","Number","Petroleum products","44,919",""
"2013","Lithuania","Number","Liquefied petroleum gases (LPG)","3",""
"2013","Lithuania","Number","Diesel","110,402",""
"2013","Lithuania","Number","Natural Gas","4",""
"2013","Lithuania","Number","Electricity","4",""
"2013","Lithuania","Number","Alternative Energy","534",""
"2013","Lithuania","Number","Petrol (excluding hybrids)  ",":",""
"2013","Lithuania","Number","Hybrid electric-petrol",":",""
"2013","Lithuania","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Lithuania","Number","Diesel (excluding hybrids)  ",":",""
"2013","Lithuania","Number","Hybrid diesel-electric",":",""
"2013","Lithuania","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Lithuania","Number","Hydrogen and fuel cells ","0",""
"2013","Lithuania","Number","Bioethanol","0",""
"2013","Lithuania","Number","Biodiesel","0",""
"2013","Lithuania","Number","Bi-fuel","0",""
"2013","Lithuania","Number","Other","523",""
"2013","Hungary","Number","Petroleum products","52,677","d"
"2013","Hungary","Number","Liquefied petroleum gases (LPG)","1",""
"2013","Hungary","Number","Diesel","72,343","d"
"2013","Hungary","Number","Natural Gas","244","d"
"2013","Hungary","Number","Electricity","19",""
"2013","Hungary","Number","Alternative Energy","1,917","d"
"2013","Hungary","Number","Petrol (excluding hybrids)  ","52,677",""
"2013","Hungary","Number","Hybrid electric-petrol","0",""
"2013","Hungary","Number","Plug-in hybrid petrol-electric  ","0",""
"2013","Hungary","Number","Diesel (excluding hybrids)  ","72,343",""
"2013","Hungary","Number","Hybrid diesel-electric","0",""
"2013","Hungary","Number","Plug-in hybrid diesel-electric  ","0",""
"2013","Hungary","Number","Hydrogen and fuel cells ","0",""
"2013","Hungary","Number","Bioethanol","0",""
"2013","Hungary","Number","Biodiesel","0",""
"2013","Hungary","Number","Bi-fuel","796","d"
"2013","Hungary","Number","Other","857","d"
"2013","Malta","Number","Petroleum products","7,800",""
"2013","Malta","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Malta","Number","Diesel","5,267",""
"2013","Malta","Number","Natural Gas",":",""
"2013","Malta","Number","Electricity","18",""
"2013","Malta","Number","Alternative Energy","27",""
"2013","Malta","Number","Petrol (excluding hybrids)  ","7,760",""
"2013","Malta","Number","Hybrid electric-petrol","40",""
"2013","Malta","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Malta","Number","Diesel (excluding hybrids)  ","5,266",""
"2013","Malta","Number","Hybrid diesel-electric","1",""
"2013","Malta","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Malta","Number","Hydrogen and fuel cells ",":",""
"2013","Malta","Number","Bioethanol",":",""
"2013","Malta","Number","Biodiesel",":",""
"2013","Malta","Number","Bi-fuel","5",""
"2013","Malta","Number","Other","4",""
"2013","Netherlands","Number","Petroleum products","307,912",""
"2013","Netherlands","Number","Liquefied petroleum gases (LPG)","2,081",""
"2013","Netherlands","Number","Diesel","103,557",""
"2013","Netherlands","Number","Natural Gas","530",""
"2013","Netherlands","Number","Electricity",":",""
"2013","Netherlands","Number","Alternative Energy","5,248",""
"2013","Netherlands","Number","Petrol (excluding hybrids)  ",":",""
"2013","Netherlands","Number","Hybrid electric-petrol","43,326",""
"2013","Netherlands","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Netherlands","Number","Diesel (excluding hybrids)  ","103,557",""
"2013","Netherlands","Number","Hybrid diesel-electric",":",""
"2013","Netherlands","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Netherlands","Number","Hydrogen and fuel cells ","1",""
"2013","Netherlands","Number","Bioethanol",":",""
"2013","Netherlands","Number","Biodiesel",":",""
