time,country,motor,value
2014,Germany,Plug-in hybrid petrol-electric,0
2014,Germany,Diesel (excluding hybrids),0
2014,Germany,Hybrid diesel-electric,0
2014,Germany,Plug-in hybrid diesel-electric,0
2014,Germany,Hydrogen and fuel cells,0
2014,Germany,Bioethanol,0
2014,Germany,Biodiesel,0
2014,Germany,Bi-fuel,0
2014,Germany,Other,27532
2014,Estonia,Petroleum products,13054
2014,Estonia,Liquefied petroleum gases (LPG),0
2014,Estonia,Diesel,7726
2014,Estonia,Natural Gas,17
2014,Estonia,Electricity,331
2014,Estonia,Alternative Energy,348
2014,Estonia,Petrol (excluding hybrids),12746
2014,Estonia,Hybrid electric-petrol,308
2014,Estonia,Plug-in hybrid petrol-electric,0
2014,Estonia,Diesel (excluding hybrids),7723
2014,Estonia,Hybrid diesel-electric,3
2014,Estonia,Plug-in hybrid diesel-electric,0
2014,Estonia,Hydrogen and fuel cells,0
2014,Estonia,Bioethanol,0
2014,Estonia,Biodiesel,0
2014,Estonia,Bi-fuel,0
2014,Estonia,Other,0
2014,Ireland,Petroleum products,21067
2014,Ireland,Liquefied petroleum gases (LPG),0
2014,Ireland,Diesel,61917
2014,Ireland,Natural Gas,0
2014,Ireland,Electricity,194
2014,Ireland,Alternative Energy,1152
2014,Ireland,Petrol (excluding hybrids),0
2014,Ireland,Hybrid electric-petrol,0
2014,Ireland,Plug-in hybrid petrol-electric,0
2014,Ireland,Diesel (excluding hybrids),0
2014,Ireland,Hybrid diesel-electric,0
2014,Ireland,Plug-in hybrid diesel-electric,0
2014,Ireland,Hydrogen and fuel cells,0
2014,Ireland,Bioethanol,0
2014,Ireland,Biodiesel,0
2014,Ireland,Bi-fuel,0
2014,Ireland,Other,958
2014,Spain,Petroleum products,297176
2014,Spain,Liquefied petroleum gases (LPG),1108
2014,Spain,Diesel,590360
2014,Spain,Natural Gas,127
2014,Spain,Electricity,1181
2014,Spain,Alternative Energy,2589
2014,Spain,Petrol (excluding hybrids),288860
2014,Spain,Hybrid electric-petrol,8070
2014,Spain,Plug-in hybrid petrol-electric,246
2014,Spain,Diesel (excluding hybrids),590198
2014,Spain,Hybrid diesel-electric,139
2014,Spain,Plug-in hybrid diesel-electric,23
2014,Spain,Hydrogen and fuel cells,0
2014,Spain,Bioethanol,0
2014,Spain,Biodiesel,6
2014,Spain,Bi-fuel,0
2014,Spain,Other,167
2014,France,Petroleum products,623201
2014,France,Liquefied petroleum gases (LPG),0
2014,France,Diesel,1129453
2014,France,Natural Gas,27
2014,France,Electricity,10567
2014,France,Alternative Energy,13201
2014,France,Petrol (excluding hybrids),589522
2014,France,Hybrid electric-petrol,31829
2014,France,Plug-in hybrid petrol-electric,1850
2014,France,Diesel (excluding hybrids),1119954
2014,France,Hybrid diesel-electric,9313
2014,France,Plug-in hybrid diesel-electric,186
2014,France,Hydrogen and fuel cells,1
2014,France,Bioethanol,254
2014,France,Biodiesel,0
2014,France,Bi-fuel,2314
2014,France,Other,38
2014,Croatia,Petroleum products,16690
2014,Croatia,Liquefied petroleum gases (LPG),491
2014,Croatia,Diesel,50861
2014,Croatia,Natural Gas,13
2014,Croatia,Electricity,47
2014,Croatia,Alternative Energy,971
2014,Croatia,Petrol (excluding hybrids),0
2014,Croatia,Hybrid electric-petrol,0
2014,Croatia,Plug-in hybrid petrol-electric,0
2014,Croatia,Diesel (excluding hybrids),0
2014,Croatia,Hybrid diesel-electric,0
2014,Croatia,Plug-in hybrid diesel-electric,0
2014,Croatia,Hydrogen and fuel cells,0
2014,Croatia,Bioethanol,0
2014,Croatia,Biodiesel,0
2014,Croatia,Bi-fuel,0
2014,Croatia,Other,420
2014,Italy,Petroleum products,0
2014,Italy,Liquefied petroleum gases (LPG),0
2014,Italy,Diesel,0
2014,Italy,Natural Gas,0
2014,Italy,Electricity,0
2014,Italy,Alternative Energy,0
2014,Italy,Petrol (excluding hybrids),0
2014,Italy,Hybrid electric-petrol,0
2014,Italy,Plug-in hybrid petrol-electric,0
2014,Italy,Diesel (excluding hybrids),0
2014,Italy,Hybrid diesel-electric,0
2014,Italy,Plug-in hybrid diesel-electric,0
2014,Italy,Hydrogen and fuel cells,0
2014,Italy,Bioethanol,0
2014,Italy,Biodiesel,0
2014,Italy,Bi-fuel,0
2014,Italy,Other,0
2014,Cyprus,Petroleum products,12142
2014,Cyprus,Liquefied petroleum gases (LPG),0
2014,Cyprus,Diesel,5782
2014,Cyprus,Natural Gas,0
2014,Cyprus,Electricity,9
2014,Cyprus,Alternative Energy,9
2014,Cyprus,Petrol (excluding hybrids),11839
2014,Cyprus,Hybrid electric-petrol,303
2014,Cyprus,Plug-in hybrid petrol-electric,0
2014,Cyprus,Diesel (excluding hybrids),5782
2014,Cyprus,Hybrid diesel-electric,0
2014,Cyprus,Plug-in hybrid diesel-electric,0
2014,Cyprus,Hydrogen and fuel cells,0
2014,Cyprus,Bioethanol,0
2014,Cyprus,Biodiesel,0
2014,Cyprus,Bi-fuel,0
