"GEO","TIME","UNIT","NA_ITEM","Value","Flag and Footnotes"
"European Union - 28 countries (2013-2020)","2005","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,287,786.8",""
"European Union - 28 countries (2013-2020)","2006","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.786",""
"European Union - 28 countries (2013-2020)","2006","Current prices, million euro","Gross domestic product at market prices","12,269,769.6",""
"European Union - 28 countries (2013-2020)","2006","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,696,508.0",""
"European Union - 28 countries (2013-2020)","2007","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.746",""
"European Union - 28 countries (2013-2020)","2007","Current prices, million euro","Gross domestic product at market prices","12,998,031.0",""
"European Union - 28 countries (2013-2020)","2007","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,076,913.2",""
"European Union - 28 countries (2013-2020)","2008","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.234",""
"European Union - 28 countries (2013-2020)","2008","Current prices, million euro","Gross domestic product at market prices","13,081,138.9",""
"European Union - 28 countries (2013-2020)","2008","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,139,618.9",""
"European Union - 28 countries (2013-2020)","2009","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.866",""
"European Union - 28 countries (2013-2020)","2009","Current prices, million euro","Gross domestic product at market prices","12,325,617.3",""
"European Union - 28 countries (2013-2020)","2009","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,578,180.9",""
"European Union - 28 countries (2013-2020)","2010","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.000",""
"European Union - 28 countries (2013-2020)","2010","Current prices, million euro","Gross domestic product at market prices","12,852,481.1",""
"European Union - 28 countries (2013-2020)","2010","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,852,481.1",""
"European Union - 28 countries (2013-2020)","2011","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.751",""
"European Union - 28 countries (2013-2020)","2011","Current prices, million euro","Gross domestic product at market prices","13,236,785.0",""
"European Union - 28 countries (2013-2020)","2011","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,077,559.6",""
"European Union - 28 countries (2013-2020)","2012","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.323",""
"European Union - 28 countries (2013-2020)","2012","Current prices, million euro","Gross domestic product at market prices","13,502,872.6",""
"European Union - 28 countries (2013-2020)","2012","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,022,466.4",""
"European Union - 28 countries (2013-2020)","2013","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.633",""
"European Union - 28 countries (2013-2020)","2013","Current prices, million euro","Gross domestic product at market prices","13,616,497.1",""
