time,country,motor,value
2015,Hungary,other,3320
2015,Hungary,diesel,103928
2015,Hungary,electricity,181
2015,Hungary,hybrid,0
2015,Malta,petroleum,11395
2015,Malta,other,66
2015,Malta,diesel,5312
2015,Malta,electricity,30
2015,Malta,hybrid,83
2015,Netherlands,petroleum,314898
2015,Netherlands,other,4256
2015,Netherlands,diesel,129773
2015,Netherlands,electricity,0
2015,Netherlands,hybrid,56219
2015,Austria,petroleum,125656
2015,Austria,other,712
2015,Austria,diesel,180510
2015,Austria,electricity,1677
2015,Austria,hybrid,3512
2015,Poland,petroleum,571541
2015,Poland,other,89463
2015,Poland,diesel,481006
2015,Poland,electricity,3496
2015,Poland,hybrid,11
2015,Portugal,petroleum,0
2015,Portugal,other,0
2015,Portugal,diesel,0
2015,Portugal,electricity,0
2015,Portugal,hybrid,0
2015,Romania,petroleum,148062
2015,Romania,other,0
2015,Romania,diesel,181809
2015,Romania,electricity,0
2015,Romania,hybrid,0
2015,Slovenia,petroleum,29038
2015,Slovenia,other,476
2015,Slovenia,diesel,31031
2015,Slovenia,electricity,123
2015,Slovenia,hybrid,0
2015,Finland,petroleum,69469
2015,Finland,other,263
2015,Finland,diesel,38844
2015,Finland,electricity,243
2015,Finland,hybrid,3261
2015,Sweden,petroleum,145383
2015,Sweden,other,6518
2015,Sweden,diesel,207091
2015,Sweden,electricity,2916
2015,Sweden,hybrid,14521
2015,United Kingdom,petroleum,1334875
2015,United Kingdom,other,56
2015,United Kingdom,diesel,1257152
2015,United Kingdom,electricity,10063
2015,United Kingdom,hybrid,62475
2015,Liechtenstein,petroleum,1072
2015,Liechtenstein,other,10
2015,Liechtenstein,diesel,937
2015,Liechtenstein,electricity,30
2015,Liechtenstein,hybrid,58
2015,Norway,petroleum,64686
2015,Norway,other,154
2015,Norway,diesel,89499
2015,Norway,electricity,21997
2015,Norway,hybrid,0
2015,Switzerland,petroleum,193200
2015,Switzerland,other,1200
2015,Switzerland,diesel,129000
2015,Switzerland,electricity,3900
2015,Switzerland,hybrid,8800
2015,North Macedonia,petroleum,0
2015,North Macedonia,other,0
2015,North Macedonia,diesel,0
2015,North Macedonia,electricity,0
2015,North Macedonia,hybrid,0
2015,Turkey,petroleum,270762
2015,Turkey,other,13288
2015,Turkey,diesel,462191
2015,Turkey,electricity,154
2015,Turkey,hybrid,200
2016,Belgium,petroleum,256076
2016,Belgium,other,2352
2016,Belgium,diesel,285653
2016,Belgium,electricity,2061
2016,Belgium,hybrid,16993
2016,Denmark,petroleum,140371
2016,Denmark,other,0
2016,Denmark,diesel,80216
2016,Denmark,electricity,0
2016,Denmark,hybrid,0
2016,Germany,petroleum,1746308
2016,Germany,other,54293
2016,Germany,diesel,1539596
2016,Germany,electricity,11410
2016,Germany,hybrid,0
2016,Estonia,petroleum,16592
2016,Estonia,other,3
2016,Estonia,diesel,6393
2016,Estonia,electricity,32
2016,Estonia,hybrid,772
2016,Ireland,petroleum,41160
2016,Ireland,other,2944
2016,Ireland,diesel,105257
2016,Ireland,electricity,402
2016,Ireland,hybrid,0
2016,Spain,petroleum,509247
2016,Spain,other,1900
2016,Spain,diesel,715543
2016,Spain,electricity,3414
2016,Spain,hybrid,30501
2016,France,petroleum,928357
2016,France,other,1661
2016,France,diesel,1032695
2016,France,electricity,21758
2016,France,hybrid,58302
2016,Croatia,petroleum,20490
2016,Croatia,other,1478
2016,Croatia,diesel,74421
2016,Croatia,electricity,66
2016,Croatia,hybrid,0
2016,Italy,petroleum,0
2016,Italy,other,0
2016,Italy,diesel,0
2016,Italy,electricity,0
2016,Italy,hybrid,0
2016,Cyprus,petroleum,17590
2016,Cyprus,other,0
2016,Cyprus,diesel,10344
2016,Cyprus,electricity,22
2016,Cyprus,hybrid,746
2016,Latvia,petroleum,9381
2016,Latvia,other,81
2016,Latvia,diesel,7287
2016,Latvia,electricity,19
2016,Latvia,hybrid,18
2016,Lithuania,petroleum,36296
2016,Lithuania,other,2878
2016,Lithuania,diesel,100495
2016,Lithuania,electricity,202
2016,Lithuania,hybrid,1796
2016,Hungary,petroleum,122444
